id,coverage,f435w_use,f606w_use,f814w_use,f105w_use,f125w_use,f140w_use,f160w_use
1438,fair,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
2500,fair,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
3158,fair,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
3583,fair,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
4502,fair,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
4861,fair,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
20004,fair,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
20006,ideal,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
20007,fair,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
20012,fair,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
